1,000000 0,0000000000000000000000000
1,000900 0,0000858763315676469574100
1,001800 0,0001715032439140173892156
1,002700 0,0002568813392196389600031
1,003600 0,0003420112179659540174725
1,004500 0,0004268934789508627147825
1,005401 0,0005115287192878348321301
1,006301 0,0005959175344147915609483
1,007201 0,0006800605181020991096830
1,008101 0,0007639582624530127930029
1,009001 0,0008476113579174437973052
1,009901 0,0009310203932884064670361
1,010801 0,0010141859557157850701969
1,011701 0,0010971086307098865120224
1,012601 0,0011797890021454371378695
1,013501 0,0012622276522686881605750
1,014401 0,0013444251617040769986033
1,015302 0,0014263821094604445249843
1,016202 0,0015080990729323673349427
1,017102 0,0015895766279117040653546
1,018002 0,0016708153485889276623766
1,018902 0,0017518158075620071656431
1,019802 0,0018325785758386281543153
1,020702 0,0019131042228464067989080
1,021602 0,0019933933164328898612894
1,022502 0,0020734464228757687465077
1,023402 0,0021532641068877644840995
1,024302 0,0022328469316166277280900
1,025203 0,0023121954586615700577568
1,026103 0,0023913102480674908179026
1,027003 0,0024701918583356352598912
1,027903 0,0025488408464311440582151
1,028803 0,0026272577677830533104952
1,029703 0,0027054431762949526785178
1,030603 0,0027833976243467617450733
1,031503 0,0028611216627996149952651
1,032403 0,0029386158410051876899161
1,033303 0,0030158807068074722224083
1,034203 0,0030929168065489953676206
1,035104 0,0031697246850779237092866
1,036004 0,0032463048857485077292040
1,036904 0,0033226579504308517698519
1,037804 0,0033987844195162431049084
1,038704 0,0034746848319175960284610
1,039604 0,0035503597250783336392033
1,040504 0,0036258096349794932677923
1,041404 0,0037010350961375060308001
1,042304 0,0037760366416161872393786
1,043204 0,0038508148030316213805690
1,044104 0,0039253701105499416712519
1,045005 0,0039997030929010968236526
1,045905 0,0040738142773797392237611
1,046805 0,0041477041898492217342209
1,047705 0,0042213733547478149432663
1,048605 0,0042948222950944803244511
1,049505 0,0043680515324941993071661
1,050405 0,0044410615871353087413809
1,051305 0,0045138529778099290012960
1,052205 0,0045864262219033058443074
1,053105 0,0046587818354040244628322
1,054005 0,0047309203329115590008769
1,054905 0,0048028422276411575353450
1,055806 0,0048745480314233979868277
1,056706 0,0049460382547121817253810
1,057606 0,0050173134065891744626242
1,058506 0,0050883739947695794114679
1,059406 0,0051592205256052459105831
1,060306 0,0052298535040886662272897
1,061206 0,0053002734338614132525436
1,062106 0,0053704808172132523225173
1,063006 0,0054404761550892466459572
1,063906 0,0055102599470973068207513
1,064806 0,0055798326915090790123486
1,065707 0,0056491948852630535782282
1,066607 0,0057183470239752232089359
1,067507 0,0057872896019377506604542
1,068407 0,0058560231121238537355111
1,069307 0,0059245480461984634246164
1,070207 0,0059928648945124507463333
1,071107 0,0060609741461172816912040
1,072007 0,0061288762887632408649097
1,072907 0,0061965718089034282911598
1,073807 0,0062640611917021971066788
1,074707 0,0063313449210378180964653
1,075608 0,0063984234795038119614219
1,076508 0,0064652973484196074593910
1,077408 0,0065319670078265446022669
1,078308 0,0065984329365003091538711
1,079208 0,0066646956119491562731127
1,080108 0,0067307555104205718521371
1,081008 0,0067966131069074897652627
1,081908 0,0068622688751478477797718
1,082808 0,0069277232876316929832683
1,083708 0,0069929768156073990326149
1,084608 0,0070580299290794457078846
1,085509 0,0071228830968199652318162
1,086409 0,0071875367863669659129755
1,087309 0,0072519914640327698407418
1,088209 0,0073162475949040128853085
1,089109 0,0073803056428509705710894
1,090009 0,0074441660705226730954109
1,090909 0,0075078293393642248076958
1,091809 0,0075712959096065901576367
1,092709 0,0076345662402812486391213
1,093609 0,0076976407892184184333928
1,094509 0,0077605200130537177471979
1,095410 0,0078232043672317175264652
1,096310 0,0078856943060090500807746
1,097210 0,0079479902824566295294062
1,098110 0,0080100927484685335855374
1,099010 0,0080720021547611153778234
1,099910 0,0081337189508765561640757
1,100810 0,0081952435851948557399282
1,101710 0,0082565765049267270114797
1,102610 0,0083177181561224777794905
1,103510 0,0083786689836773398099012
1,104410 0,0084394294313332451906717
1,105311 0,0084999999416819349562502
1,106211 0,0085603809561725086041406
